street id;street name;period;count
948417;On or near Parking Area;from 2019-01 till 2019-05;91
942575;On or near Beehive Place;from 2019-01 till 2019-05;90
679574;On or near Shopping Area;from 2019-01 till 2019-05;90
975517;On or near Fulready Road;from 2019-01 till 2019-05;90
956442;On or near Wardour Street;from 2019-01 till 2019-05;90
957866;On or near Granville Gardens;from 2019-01 till 2019-05;89
956815;On or near Vere Street;from 2019-01 till 2019-05;89
957620;On or near Ollgar Close;from 2019-01 till 2019-05;89
986139;On or near Petrol Station;from 2019-01 till 2019-05;89
971492;On or near Supermarket;from 2019-01 till 2019-05;89
963232;On or near East Street;from 2019-01 till 2019-05;89
946297;On or near Shopping Area;from 2019-01 till 2019-05;89
948647;On or near Shopping Area;from 2019-01 till 2019-05;89
930686;On or near Hospital;from 2019-01 till 2019-05;89
679512;On or near Motorway Service Area;from 2019-01 till 2019-05;88
790487;On or near Grange Close;from 2019-01 till 2019-05;88
964217;On or near Mill Row;from 2019-01 till 2019-05;88
960508;On or near Further/higher Educational Building;from 2019-01 till 2019-05;88
961523;On or near Nightclub;from 2019-01 till 2019-05;88
957518;On or near Pedestrian Subway;from 2019-01 till 2019-05;88
962501;On or near Claps Gate Lane;from 2019-01 till 2019-05;88
958100;On or near Parking Area;from 2019-01 till 2019-05;87
944226;On or near Camborne Close;from 2019-01 till 2019-05;87
944685;On or near Twickenham Road;from 2019-01 till 2019-05;87
950400;On or near Supermarket;from 2019-01 till 2019-05;87
941917;On or near Lewis Grove;from 2019-01 till 2019-05;86
944082;On or near Police Station;from 2019-01 till 2019-05;86
953688;On or near Pedestrian Subway;from 2019-01 till 2019-05;86
967786;On or near Nightclub;from 2019-01 till 2019-05;86
956679;On or near Piccadilly;from 2019-01 till 2019-05;86
954596;On or near Shopping Area;from 2019-01 till 2019-05;86
971002;On or near Supermarket;from 2019-01 till 2019-05;85
976475;On or near Shopping Area;from 2019-01 till 2019-05;85
958375;On or near Uxbridge Road The Broadway;from 2019-02 till 2019-05;85
956640;On or near Nightclub;from 2019-01 till 2019-05;85
963184;On or near Parking Area;from 2019-01 till 2019-05;85
980555;On or near Shopping Area;from 2019-01 till 2019-05;85
956972;On or near Poplar Place;from 2019-01 till 2019-05;85
951771;On or near Chevy Road;from 2019-01 till 2019-05;85
937556;On or near Supermarket;from 2019-01 till 2019-05;85
939591;On or near Shopping Area;from 2019-01 till 2019-05;84
960904;On or near Pedestrian Subway;from 2019-01 till 2019-05;84
963835;On or near Shopping Area;from 2019-01 till 2019-05;84
956807;On or near Parking Area;from 2019-01 till 2019-05;84
960146;On or near Alfred Road;from 2019-01 till 2019-05;84
967187;On or near Conference/exhibition Centre;from 2019-01 till 2019-05;84
956623;On or near New Oxford Street;from 2019-01 till 2019-05;84
984204;On or near Winifred Place;from 2019-01 till 2019-05;84
952251;On or near Shopping Area;from 2019-01 till 2019-05;84
967132;On or near South Way;from 2019-01 till 2019-05;84
972468;On or near Tempelhof Avenue;from 2019-01 till 2019-05;84
961760;On or near Maples Place;from 2019-01 till 2019-05;84
956251;On or near Supermarket;from 2019-01 till 2019-05;84
960970;On or near Crestfield Street;from 2019-01 till 2019-05;83
959668;On or near Petrol Station;from 2019-01 till 2019-05;83
963809;On or near Service Route No 1;from 2019-01 till 2019-05;83
953516;On or near Police Station;from 2019-01 till 2019-05;83
949736;On or near Hospital;from 2019-01 till 2019-05;83
679572;On or near Shopping Area;from 2019-01 till 2019-05;82
949139;On or near Olmar Street;from 2019-01 till 2019-05;82
961747;On or near Police Station;from 2019-01 till 2019-05;82
954032;On or near Shopping Area;from 2019-01 till 2019-05;82
963808;On or near Service Route No 2;from 2019-01 till 2019-05;82
956053;On or near Conference/exhibition Centre;from 2019-01 till 2019-05;82
956887;On or near Further/higher Educational Building;from 2019-01 till 2019-05;82
978086;On or near Supermarket;from 2019-01 till 2019-05;82
956153;On or near Shelton Street;from 2019-01 till 2019-05;82
964613;On or near Wheelwright Street;from 2019-01 till 2019-05;82
1489977;Stratford (station);from 2019-01 till 2019-05;82
974016;On or near Shopping Area;from 2019-01 till 2019-05;82
956106;On or near Supermarket;from 2019-01 till 2019-05;81
956221;On or near Theatre/concert Hall;from 2019-01 till 2019-05;81
961140;On or near Pitfield Street;from 2019-01 till 2019-05;81
1490103;Charing Cross (station);from 2019-01 till 2019-05;81
972423;On or near Supermarket;from 2019-01 till 2019-05;81
968854;On or near Mare Street;from 2019-01 till 2019-05;81
956884;On or near Shopping Area;from 2019-01 till 2019-05;81
969884;On or near Shopping Area;from 2019-01 till 2019-05;81
956619;On or near Percy Street;from 2019-01 till 2019-05;81
977999;On or near Parking Area;from 2019-01 till 2019-05;81
944673;On or near Bus/coach Station;from 2019-01 till 2019-05;81
933842;On or near Shopping Area;from 2019-01 till 2019-05;81
937745;On or near Shopping Area;from 2019-01 till 2019-05;81
937746;On or near Supermarket;from 2019-01 till 2019-05;81
942739;On or near Supermarket;from 2019-01 till 2019-05;80
789930;On or near Nightclub;from 2019-01 till 2019-05;80
